feature,0
center_dist,0.06534186450559676
town_汉口,0.06517858210307864
town_汉阳,0.054907591754637664
junior_dist,0.01993497576929639
building_score_mean,0.01882940745707703
kindergarten_dist,0.01433557497966004
metro_dist_current,0.01298170634877618
bus_dist,0.011420512718244635
park_dist,0.010990387942112876
basic_health_dist,0.008845006391110842
shopping_count,0.00871809057073357
primary_dist,0.00789611732803416
leisure_dist,0.0061866252652007375
dining_dist,0.005288363550163138
company_dist,0.005192506239179961
hospital_top_dist,0.005182889142871213
shopping_dist,0.005121482388370628
company_count,0.003486345500792558
basic_health_count,0.0030431512492128093
dining_count,0.002749211742414692
year_2018,0.0024494960004409192
bus_count,0.0016964577472255652
park_count,0.0014087650991974152
leisure_count,0.001156417081316677
hospital_top_count,0.0008605473533280804
year_2022,0.0008511883781682337
junior_count,0.0007671608030218013
kindergarten_count,0.0006699350153404918
year_2021,0.0006599509465936375
year_2020,0.00023298534836350875
year_2019,0.00021867758063118915
primary_count,0.0001186519489518927
university_dist,0.0
university_count,0.0
