,0
center_dist,1631.0470267136309
block_property_fee,356.9709583368995
park_dist,340.7132707176139
block_floor_area_ratio,242.31691886612535
ndvi_std,229.4741898110614
ndvi_mean,190.60873237359763
block_age_years,142.4599259329241
metro_dist,138.36506883411698
kindergarten_dist,129.1642348421603
junior_dist,116.53871998268683
dining_count,79.6147052047659
hospital_top_dist,78.01520568526475
bus_dist,74.22525291374929
basic_health_dist,58.092731227466075
community_count,55.1692966491061
leisure_dist,52.45653347224481
building_score_std,52.43032925237818
building_score_mean,51.57474105575378
water_ratio,48.915272119203834
shopping_dist,48.232569798748095
company_count,47.49360715539224
shopping_count,45.45967251792123
primary_dist,42.54080185427588
dining_dist,42.54066655820503
company_dist,35.99492601871678
park_count,34.53951160291426
green_ratio,29.161561717189482
basic_health_count,18.231889090720454
hospital_top_count,14.023219431198065
leisure_count,11.77456582617969
