r2,rmse,mae,model,error
0.107969311168156,5356.01974909892,3879.9122730993886,OLS,
0.1273374651492425,5297.554549896338,3812.5202675796995,RF,
,,,GWR,invalid index to scalar variable.
0.2351991556129397,4959.369321618369,3477.7148921566213,GWRF,
